detector_name;descriptor_name;ttcLidar;ttcCamera
BRISK;BRIEF;12.2891;10.1889
BRISK;BRIEF;13.3547;16.1327
BRISK;BRIEF;16.3845;11.5662
BRISK;BRIEF;14.0764;17.8398
BRISK;BRIEF;12.7299;20.4757
BRISK;BRIEF;13.7511;20.6042
BRISK;BRIEF;13.7314;14.0882
BRISK;BRIEF;13.7901;19.1151
BRISK;BRIEF;12.059;14.6993
BRISK;BRIEF;11.8642;10.1762
BRISK;BRIEF;11.9682;11.6251
BRISK;BRIEF;9.88711;12.6855
BRISK;BRIEF;9.42504;11.5071
BRISK;BRIEF;9.30215;10.7809
BRISK;BRIEF;8.3212;10.6437
BRISK;BRIEF;8.89867;11.7206
BRISK;BRIEF;11.0301;10.7937
BRISK;BRIEF;8.53557;9.96394
detector_name;descriptor_name;ttcLidar;ttcCamera
BRISK;ORB;12.2891;11.7327
BRISK;ORB;13.3547;15.829
BRISK;ORB;16.3845;14.2885
BRISK;ORB;14.0764;17.1298
BRISK;ORB;12.7299;23.8766
BRISK;ORB;13.7511;19.9254
BRISK;ORB;13.7314;12.1339
BRISK;ORB;13.7901;16.622
BRISK;ORB;12.059;15.1317
BRISK;ORB;11.8642;11.255
BRISK;ORB;11.9682;13.4938
BRISK;ORB;9.88711;11.7882
BRISK;ORB;9.42504;11.6125
BRISK;ORB;9.30215;12.2443
BRISK;ORB;8.3212;10.8762
BRISK;ORB;8.89867;10.8778
BRISK;ORB;11.0301;8.62274
BRISK;ORB;8.53557;11.6691

detector_name;descriptor_name;ttcLidar;ttcCamera
BRISK;FREAK;12.2891;11.2939
BRISK;FREAK;13.3547;19.6872
BRISK;FREAK;16.3845;12.2048
BRISK;FREAK;14.0764;14.8405
BRISK;FREAK;12.7299;19.9198
BRISK;FREAK;13.7511;23.0077
BRISK;FREAK;13.7314;12.0534
BRISK;FREAK;13.7901;15.3088
BRISK;FREAK;12.059;17.9749
BRISK;FREAK;11.8642;12.7661
BRISK;FREAK;11.9682;12.5041
BRISK;FREAK;9.88711;10.8801
BRISK;FREAK;9.42504;11.9619
BRISK;FREAK;9.30215;12.2145
BRISK;FREAK;8.3212;14.4302
BRISK;FREAK;8.89867;9.97331
BRISK;FREAK;11.0301;9.35263
BRISK;FREAK;8.53557;11.5113

detector_name;descriptor_name;ttcLidar;ttcCamera
ORB;BRISK;12.2891;10.676
ORB;BRISK;13.3547;13.5068
ORB;BRISK;16.3845;11.2793
ORB;BRISK;14.0764;16.4892
ORB;BRISK;12.7299;41.3827
ORB;BRISK;13.7511;10.0536
ORB;BRISK;13.7314;27.9717
ORB;BRISK;13.7901;10.6652
ORB;BRISK;12.059;12.0094
ORB;BRISK;11.8642;11.0419
ORB;BRISK;11.9682;7.40879
ORB;BRISK;9.88711;-inf
ORB;BRISK;9.42504;13.7328
ORB;BRISK;9.30215;11.4171
ORB;BRISK;8.3212;24.6352
ORB;BRISK;8.89867;17.1962
ORB;BRISK;11.0301;20.3351
ORB;BRISK;8.53557;55.2418

detector_name;descriptor_name;ttcLidar;ttcCamera
ORB;BRIEF;12.2891;12.2865
ORB;BRIEF;13.3547;14.042
ORB;BRIEF;16.3845;19.9017
ORB;BRIEF;14.0764;15.639
ORB;BRIEF;12.7299;22.3972
ORB;BRIEF;13.7511;16.1922
ORB;BRIEF;13.7314;19.3349
ORB;BRIEF;13.7901;128.473
ORB;BRIEF;12.059;39.376
ORB;BRIEF;11.8642;11.0882
ORB;BRIEF;11.9682;10.0798
ORB;BRIEF;9.88711;20.1675
ORB;BRIEF;9.42504;12.8245
ORB;BRIEF;9.30215;8.59638
ORB;BRIEF;8.3212;18.5571
ORB;BRIEF;8.89867;10.9511
ORB;BRIEF;11.0301;8.7295
ORB;BRIEF;8.53557;19.7783

detector_name;descriptor_name;ttcLidar;ttcCamera
ORB;ORB;12.2891;19.0873
ORB;ORB;13.3547;-inf
ORB;ORB;16.3845;21.8644
ORB;ORB;14.0764;25.1199
ORB;ORB;12.7299;22.1464
ORB;ORB;13.7511;-inf
ORB;ORB;13.7314;-inf
ORB;ORB;13.7901;10.9391
ORB;ORB;12.059;-inf
ORB;ORB;11.8642;10.4209
ORB;ORB;11.9682;9.12813
ORB;ORB;9.88711;-inf
ORB;ORB;9.42504;12.8562
ORB;ORB;9.30215;13.6273
ORB;ORB;8.3212;-inf
ORB;ORB;8.89867;10.2191
ORB;ORB;11.0301;14.4347
ORB;ORB;8.53557;34.4586

detector_name;descriptor_name;ttcLidar;ttcCamera
ORB;FREAK;12.2891;12.2074
ORB;FREAK;13.3547;11.1048
ORB;FREAK;16.3845;11.3288
ORB;FREAK;14.0764;12.5761
ORB;FREAK;12.7299;743.244
ORB;FREAK;13.7511;65.7468
ORB;FREAK;13.7314;-inf
ORB;FREAK;13.7901;12.6809
ORB;FREAK;12.059;30.3425
ORB;FREAK;11.8642;24.4419
ORB;FREAK;11.9682;8.12118
ORB;FREAK;9.88711;8.31342
ORB;FREAK;9.42504;8.36293
ORB;FREAK;9.30215;9.3101
ORB;FREAK;8.3212;8.12918
ORB;FREAK;8.89867;7.76548
ORB;FREAK;11.0301;11.3219
ORB;FREAK;8.53557;24.1855


detector_name;descriptor_name;ttcLidar;ttcCamera
AKAZE;BRISK;12.2891;11.8455
AKAZE;BRISK;13.3547;13.1113
AKAZE;BRISK;16.3845;13.0918
AKAZE;BRISK;14.0764;13.3027
AKAZE;BRISK;12.7299;13.1974
AKAZE;BRISK;13.7511;12.6651
AKAZE;BRISK;13.7314;15.6477
AKAZE;BRISK;13.7901;13.6024
AKAZE;BRISK;12.059;14.1673
AKAZE;BRISK;11.8642;12.435
AKAZE;BRISK;11.9682;12.0939
AKAZE;BRISK;9.88711;10.3743
AKAZE;BRISK;9.42504;10.4123
AKAZE;BRISK;9.30215;9.70457
AKAZE;BRISK;8.3212;9.48155
AKAZE;BRISK;8.89867;10.0682
AKAZE;BRISK;11.0301;8.69653
AKAZE;BRISK;8.53557;8.67077

detector_name;descriptor_name;ttcLidar;ttcCamera
AKAZE;BRIEF;12.2891;12.101
AKAZE;BRIEF;13.3547;13.519
AKAZE;BRIEF;16.3845;12.0061
AKAZE;BRIEF;14.0764;13.3839
AKAZE;BRIEF;12.7299;14.0406
AKAZE;BRIEF;13.7511;12.4618
AKAZE;BRIEF;13.7314;15.4674
AKAZE;BRIEF;13.7901;14.6608
AKAZE;BRIEF;12.059;12.5431
AKAZE;BRIEF;11.8642;11.9802
AKAZE;BRIEF;11.9682;12.9386
AKAZE;BRIEF;9.88711;11.1953
AKAZE;BRIEF;9.42504;10.9342
AKAZE;BRIEF;9.30215;10.8077
AKAZE;BRIEF;8.3212;9.53519
AKAZE;BRIEF;8.89867;9.53052
AKAZE;BRIEF;11.0301;8.80347
AKAZE;BRIEF;8.53557;8.49658

detector_name;descriptor_name;ttcLidar;ttcCamera
AKAZE;ORB;12.2891;11.6102
AKAZE;ORB;13.3547;13.5195
AKAZE;ORB;16.3845;12.745
AKAZE;ORB;14.0764;14.3365
AKAZE;ORB;12.7299;13.6303
AKAZE;ORB;13.7511;13.6516
AKAZE;ORB;13.7314;15.3947
AKAZE;ORB;13.7901;13.8281
AKAZE;ORB;12.059;12.7144
AKAZE;ORB;11.8642;11.7826
AKAZE;ORB;11.9682;12.3501
AKAZE;ORB;9.88711;10.6091
AKAZE;ORB;9.42504;10.9959
AKAZE;ORB;9.30215;9.77147
AKAZE;ORB;8.3212;10.1374
AKAZE;ORB;8.89867;9.78989
AKAZE;ORB;11.0301;9.21472
AKAZE;ORB;8.53557;9.07435


detector_name;descriptor_name;ttcLidar;ttcCamera
AKAZE;FREAK;12.2891;11.5026
AKAZE;FREAK;13.3547;12.7074
AKAZE;FREAK;16.3845;12.827
AKAZE;FREAK;14.0764;13.9335
AKAZE;FREAK;12.7299;14.0043
AKAZE;FREAK;13.7511;14.025
AKAZE;FREAK;13.7314;15.3221
AKAZE;FREAK;13.7901;13.1172
AKAZE;FREAK;12.059;11.5627
AKAZE;FREAK;11.8642;11.7715
AKAZE;FREAK;11.9682;11.516
AKAZE;FREAK;9.88711;10.5463
AKAZE;FREAK;9.42504;10.1861
AKAZE;FREAK;9.30215;10.0381
AKAZE;FREAK;8.3212;9.38574
AKAZE;FREAK;8.89867;9.97651
AKAZE;FREAK;11.0301;8.46005
AKAZE;FREAK;8.53557;8.73027

detector_name;descriptor_name;ttcLidar;ttcCamera
AKAZE;AKAZE;12.2891;12.3568
AKAZE;AKAZE;13.3547;13.4647
AKAZE;AKAZE;16.3845;13.1169
AKAZE;AKAZE;14.0764;13.5962
AKAZE;AKAZE;12.7299;14.4113
AKAZE;AKAZE;13.7511;13.412
AKAZE;AKAZE;13.7314;15.995
AKAZE;AKAZE;13.7901;14.3734
AKAZE;AKAZE;12.059;13.7488
AKAZE;AKAZE;11.8642;11.8806
AKAZE;AKAZE;11.9682;13.2499
AKAZE;AKAZE;9.88711;11.2959
AKAZE;AKAZE;9.42504;10.7347
AKAZE;AKAZE;9.30215;11.7254
AKAZE;AKAZE;8.3212;10.3368
AKAZE;AKAZE;8.89867;9.8426
AKAZE;AKAZE;11.0301;9.52044
AKAZE;AKAZE;8.53557;8.92005
